,County|Prec,Type,Context
0,ALEXANDER|E,PERFECT_MATCH,ALEXANDER|E
1,ALEXANDER|S1S2,SPLIT,/data/raw/sf-2014/Precincts.shp
2,ALEXANDER|LRSL,SPLIT,/data/raw/sf-2014/Precincts.shp
3,ALEXANDER|W,PERFECT_MATCH,ALEXANDER|W
4,ALEXANDER|T2T3,SPLIT,/data/raw/sf-2014/Precincts.shp
5,ALEXANDER|B2,PERFECT_MATCH,ALEXANDER|B2
6,ALEXANDER|G1G2,SPLIT,/data/raw/sf-2014/Precincts.shp
7,ALEXANDER|B1,PERFECT_MATCH,ALEXANDER|B1
8,ALEXANDER|T1T4T5,SPLIT,/data/raw/sf-2014/Precincts.shp
10,ALEXANDER|M,PERFECT_MATCH,ALEXANDER|M
11,AVERY|08,PERFECT_MATCH,AVERY|08
12,AVERY|05,PERFECT_MATCH,AVERY|05
13,AVERY|11,PERFECT_MATCH,AVERY|11
14,AVERY|02,PERFECT_MATCH,AVERY|02
15,AVERY|07,PERFECT_MATCH,AVERY|07
16,AVERY|04,PERFECT_MATCH,AVERY|04
17,AVERY|ABSENTEE,COUNTY_LEVEL,ABSENTEE
18,AVERY|01,PERFECT_MATCH,AVERY|01
19,AVERY|14,PERFECT_MATCH,AVERY|14
20,AVERY|19,PERFECT_MATCH,AVERY|19
21,AVERY|16,PERFECT_MATCH,AVERY|16
22,AVERY|15,PERFECT_MATCH,AVERY|15
23,AVERY|ONE.STOP,COUNTY_LEVEL,ONE.STOP
24,AVERY|12,PERFECT_MATCH,AVERY|12
25,AVERY|17,PERFECT_MATCH,AVERY|17
26,AVERY|18,PERFECT_MATCH,AVERY|18
27,AVERY|13,PERFECT_MATCH,AVERY|13
28,AVERY|06,PERFECT_MATCH,AVERY|06
29,AVERY|03,PERFECT_MATCH,AVERY|03
30,AVERY|09,PERFECT_MATCH,AVERY|09
31,AVERY|10,PERFECT_MATCH,AVERY|10
32,AVERY|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
33,BERTIE|OS.LOB,COUNTY_LEVEL,OS.LOB
34,BERTIE|IW,PERFECT_MATCH,BERTIE|IW
35,BERTIE|M1,PERFECT_MATCH,BERTIE|M1
36,BERTIE|W1,PERFECT_MATCH,BERTIE|W1
37,BERTIE|MH,PERFECT_MATCH,BERTIE|MH
38,BERTIE|OS.POW,COUNTY_LEVEL,OS.POW
39,BERTIE|C2,PERFECT_MATCH,BERTIE|C2
40,BERTIE|M2,PERFECT_MATCH,BERTIE|M2
41,BERTIE|W2,PERFECT_MATCH,BERTIE|W2
42,BERTIE|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
43,BERTIE|RX,PERFECT_MATCH,BERTIE|RX
44,BERTIE|WD,PERFECT_MATCH,BERTIE|WD
45,BERTIE|C1,PERFECT_MATCH,BERTIE|C1
46,BERTIE|WH,PERFECT_MATCH,BERTIE|WH
47,BERTIE|ABSENTEE,COUNTY_LEVEL,ABSENTEE
48,BERTIE|SN,PERFECT_MATCH,BERTIE|SN
49,BRUNSWICK|11,PERFECT_MATCH,BRUNSWICK|11
50,BRUNSWICK|22,PERFECT_MATCH,BRUNSWICK|22
51,BRUNSWICK|05,PERFECT_MATCH,BRUNSWICK|05
52,BRUNSWICK|08,PERFECT_MATCH,BRUNSWICK|08
53,BRUNSWICK|04C1,PERFECT_MATCH,BRUNSWICK|04C1
54,BRUNSWICK|10A,PERFECT_MATCH,BRUNSWICK|10A
55,BRUNSWICK|21,PERFECT_MATCH,BRUNSWICK|21
56,BRUNSWICK|02,PERFECT_MATCH,BRUNSWICK|02
57,BRUNSWICK|23,PERFECT_MATCH,BRUNSWICK|23
58,BRUNSWICK|03,PERFECT_MATCH,BRUNSWICK|03
59,BRUNSWICK|06,PERFECT_MATCH,BRUNSWICK|06
60,BRUNSWICK|09,PERFECT_MATCH,BRUNSWICK|09
61,BRUNSWICK|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
62,BRUNSWICK|13,PERFECT_MATCH,BRUNSWICK|13
63,BRUNSWICK|18,PERFECT_MATCH,BRUNSWICK|18
64,BRUNSWICK|CURBSIDE,COUNTY_LEVEL,CURBSIDE
65,BRUNSWICK|ABSENTEE.MAIL,COUNTY_LEVEL,ABSENTEE.MAIL
66,BRUNSWICK|04B1,PERFECT_MATCH,BRUNSWICK|04B1
67,BRUNSWICK|17,PERFECT_MATCH,BRUNSWICK|17
68,BRUNSWICK|10B,PERFECT_MATCH,BRUNSWICK|10B
69,BRUNSWICK|12,PERFECT_MATCH,BRUNSWICK|12
70,BRUNSWICK|15,PERFECT_MATCH,BRUNSWICK|15
71,BRUNSWICK|01,PERFECT_MATCH,BRUNSWICK|01
72,BRUNSWICK|07,PERFECT_MATCH,BRUNSWICK|07
73,BRUNSWICK|04A,PERFECT_MATCH,BRUNSWICK|04A
74,BRUNSWICK|14,PERFECT_MATCH,BRUNSWICK|14
75,BRUNSWICK|19,PERFECT_MATCH,BRUNSWICK|19
76,BRUNSWICK|20,PERFECT_MATCH,BRUNSWICK|20
